name,state,street,lon,lat,formatted,categories,min_fee
Chez Pascal,Red Sea,"Al Qusair, Marsa Aalam Road",34.642178,25.5212735,"Chez Pascal, Al Qusair, Marsa Aalam Road, Port Ghalib, Egypt","['catering', 'catering.restaurant']",0
Chicha,Red Sea,Inas Al Deghedi Street,33.6752401,27.395828,"Chicha, Inas Al Deghedi Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
Chicken Tikka,Cairo,Al Nasr Street,31.2845562,29.9761671,"Chicken Tikka, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.chicken']",0
Chicken War,Suez,"Suez, Ismailia Road",32.538518,29.9617969,"Chicken War, Suez, Ismailia Road, Suez, 43515, Egypt","['catering', 'catering.restaurant']",0
Chili's,Cairo,6th October Bridge,31.2284666,30.0484834,"Chili's, 6th October Bridge, Al-Azbakeya, Cairo, 12344, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.tex-mex']",0
Chinese Dumpling Restaurant,Cairo,Street 233,31.2781404,29.9597874,"Chinese Dumpling Restaurant, Street 233, Cairo, 11431, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.chinese']",0
Choco chocola,Giza,Mohy Al Din Abou Al Ezz Street,31.1994338,30.046306,"Choco chocola, Mohy Al Din Abou Al Ezz Street, El Mohandesin, Giza, 12615, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery']",0
Chop Chop - Far Eastern Cuisine,Giza,Ibn Kathir Street,31.2181103,30.0302239,"Chop Chop - Far Eastern Cuisine, Ibn Kathir Street, Dokki, Giza, 12612, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.asian']",0
Cilantro,Cairo,Street 9,31.2590322,29.958998,"Cilantro, 90 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Cilantro,Giza,Al Mesaha Square,31.2140749,30.0355328,"Cilantro, Al Mesaha Square, Dokki, Giza, 12612, Egypt","['catering', 'catering.restaurant']",0
Cilantro,Cairo,Mohamed Mahmoud Street,31.2372471,30.0436079,"Cilantro, Mohamed Mahmoud Street, Bab al Luq, Cairo, 11513, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access', 'internet_access.free']",0
Cilantro,Giza,Al Markazy Axis,30.9449725,29.9761131,"Cilantro, Al Markazy Axis, 7th District, 6th of October, 12591, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Cilantro,Cairo,Al Nasr Street,31.2848546,29.9761865,"Cilantro, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.cafe']",0
cinabon 2,Bani Sweif,Mohamed Shehata Al Zaeiry Street,31.0998175,29.0662564,"cinabon 2, Mohamed Shehata Al Zaeiry Street, Bani Ateya, 62513, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery']",0
Cinema Tahrir,Giza,Al Tahrir Street,31.2145136,30.0391714,"Cinema Tahrir, Al Tahrir Street, Dokki, Giza, 12311, Egypt","['entertainment', 'entertainment.cinema']",0
Cinnabon,Cairo,Sherif Pasha Street,31.24262964,30.0497179,"Cinnabon, 25 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",0
Cinnabon,Cairo,Street 9,31.2595207,29.9583378,"Cinnabon, 84 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.fast_food']",0
City Crepe,Giza,Abd Al Khalek Sarwat Street,30.9641363,29.9936283,"City Crepe, Abd Al Khalek Sarwat Street, Gardina Park valley, 6th of October, 12568, Egypt","['catering', 'catering.fast_food']",0
City Hostel,Cairo,Al Gnena Street,31.2481125,30.0537395,"City Hostel, Al Gnena Street, Al-Azbakeya, Cairo, 11668, Egypt","['accommodation', 'accommodation.hotel']",0
City Hostel,Cairo,Al Gnena Street,31.2481125,30.0537395,"City Hostel, Al Gnena Street, Al-Azbakeya, Cairo, 11668, Egypt","['accommodation', 'accommodation.hotel']",0
Cleopatra Hotel,Cairo,Abd Al Salam Aref Street,31.2353548,30.0462969,"Cleopatra Hotel, Abd Al Salam Aref Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.for_customers', 'wheelchair', 'wheelchair.limited']",0
Cleopatra Hotel,Cairo,Abd Al Salam Aref Street,31.2353548,30.0462969,"Cleopatra Hotel, Abd Al Salam Aref Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.for_customers', 'wheelchair', 'wheelchair.limited']",0
Cleopatra’s Museum,Giza,Al Bahr Al Aazam Street,31.2155716,29.9975906,"Cleopatra’s Museum, Al Bahr Al Aazam Street, Giza, 12516, Egypt","['entertainment', 'entertainment.museum']",0
Cock Door,Giza,Al Markazy Axis,30.9414017,29.9739365,"Cock Door, Al Markazy Axis, 8th District, 6th of October, 12591, Egypt","['catering', 'catering.fast_food']",0
Coffeeshop Company,Cairo,Al Nasr Street,31.2842284,29.975712,"Coffeeshop Company, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Coffeeshop Company,Cairo,Al Ahram Street,31.3231629,30.0921141,"Coffee Shop Company, 25 Al Ahram Street, Heliopolis, Cairo, 11737, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Conrad Cairo,Cairo,Al Matbaah Al Amireh Street,31.22819205,30.0654238,"Conrad Cairo, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",50
Conrad Cairo,Cairo,Al Matbaah Al Amireh Street,31.22819205,30.0654238,"Conrad Cairo, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",50
Continental Hotel (OLD),Cairo,Continental Passage,31.24633371,30.05180315,"Continental Hotel (OLD), Continental Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",0
Continental Hotel (OLD),Cairo,Continental Passage,31.24633371,30.05180315,"Continental Hotel (OLD), Continental Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",0
Cook Door,Suez,"Suez, Ain Sokhna Road",32.3410469,29.6948382,"Cook Door, Suez, Ain Sokhna Road, New Suez, Egypt","['catering', 'catering.fast_food']",0
Cook Door,Suez,"Suez, Ain Sokhna Road",32.3410469,29.6948382,"Cook Door, Suez, Ain Sokhna Road, New Suez, Egypt","['catering', 'catering.fast_food']",0
Cook Door;KFC,Cairo,Ismailia Road,31.7227417,30.2416985,"Cook Door;KFC, Ismailia Road, Cairo, 44629, Egypt","['catering', 'catering.fast_food']",0
Cordoba Cafee,Eastern,Omar Ibn Al Khatab Street,31.7542756,30.3070709,"Cordoba Cafee, Omar Ibn Al Khatab Street, 63, 10th of Ramadan, 44629, Egypt","['catering', 'catering.cafe']",0
Cosmopolitan Hotel,Cairo,Abou Bakr Khairat Street,31.2403433,30.047706,"Cosmopolitan Hotel, Abou Bakr Khairat Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",0
Cosmopolitan Hotel,Cairo,Abou Bakr Khairat Street,31.2403433,30.047706,"Cosmopolitan Hotel, Abou Bakr Khairat Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",0
Costa,Cairo,Sherif Pasha Street,31.2421766,30.0490794,"Costa Coffee, Sherif Pasha Street, Bab al Luq, Cairo, 42801, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Costa,Cairo,Street 250,31.26963114,29.965631,"Costa, Street 250, Cairo, 11431, Egypt","['building', 'building.catering', 'catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access']",0
Costa,Cairo,Street 9,31.2607498,29.9570511,"Costa, 75 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access']",0
Costa,Giza,Masdaq Street,31.2057313,30.0397215,"Costa, Masdaq Street, Dokki, Giza, 12311, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Costa,Cairo,Ahmed Heshmat Street,31.2216124,30.0651553,"Costa, Ahmed Heshmat Street, Al-Sabtiyya, 11568, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Costa Cafe,Cairo,Hassn Al Gazzar Street,31.355678,30.0688572,"Costa Cafe, Hassn Al Gazzar Street, Cairo, 11391, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Costa Coffee,Cairo,Al Sayed Al Marghany Street,31.3157294,30.0904002,"Costa Coffee, Al Sayed Al Marghany Street, Al-Zaitoun, Cairo, 11737, Egypt","['catering', 'catering.cafe']",0
Crafted Home كرافتيد هوم,Cairo,Adly Street,31.2427244,30.0510189,"Crafted Home كرافتيد هوم, 26 Adly Street, Abdin, Cairo, 11518, Egypt","['building', 'building.catering', 'catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access', 'internet_access.free']",0
Crocodile Museum,Aswan,Grande Cour,32.92768935,24.4530467,"Crocodile Museum, Grande Cour, Koum Ombo City, 81611, Egypt","['building', 'building.tourism', 'entertainment', 'entertainment.museum']",0
Crown Central,Giza,Moustafa Abd Al Samei Street,31.0521072,29.9946958,"Crown Central, 2 Moustafa Abd Al Samei Street, Ash Sheikh Zayed, 12573, Egypt","['catering', 'catering.cafe']",0
Crown Hotel,Cairo,Gawad Hosny Street,31.2432594,30.0485916,"Crown Hotel, 16 Gawad Hosny Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Crown Hotel,Cairo,Gawad Hosny Street,31.2432594,30.0485916,"Crown Hotel, 16 Gawad Hosny Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Crumbs cupcakes & more,Cairo,Street 9,31.2597821,29.958034,"Crumbs cupcakes & more, 82 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery', 'internet_access', 'internet_access.free']",0
Crumbs cupcakes & more,Cairo,Street 9,31.2597821,29.958034,"Crumbs cupcakes & more, 82 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery', 'internet_access', 'internet_access.free']",0
Cuffichino,Cairo,Al Mostashfa Al Yonany Street,31.28021532,30.06435565,"Cuffichino, Al Mostashfa Al Yonany Street, Cairo, 11535, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",0
Daily Dose,Red Sea,Ahmed Ragab Street,33.6754218,27.4068845,"Daily Dose, Ahmed Ragab Street, Gamsha, 84513, Egypt","['catering', 'catering.cafe']",0
Delicious felafel,Red Sea,Al Malek Seoud Street,33.075595,28.3554165,"Delicious felafel, Al Malek Seoud Street, Gharib Cape, 84715, Egypt","['catering', 'catering.restaurant']",0
Delight sweet house,Cairo,Street 250,31.26998,29.959264,"Delight sweet house, Street 250, Ma‘di, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
Didos Al Dente,Cairo,Bahgat Ali Street,31.2194106,30.0687987,"Didos Al Dente, Bahgat Ali Street, Al-Sabtiyya, 12653, Egypt","['catering', 'catering.restaurant']",0
Dishes,Cairo,Street 206,31.2755092,29.9620871,"Dishes, Street 206, Cairo, 11431, Egypt","['catering', 'catering.restaurant']",0
Divino,Red Sea,"Al Qusair, Marsa Aalam Road",34.6349425,25.5339225,"Divino, Al Qusair, Marsa Aalam Road, Port Ghalib, Egypt","['catering', 'catering.restaurant']",0
Dolce Vita Restaurant,Red Sea,"Al Qusair, Marsa Aalam Road",34.7441291,25.3241,"Dolce Vita Restaurant, Al Qusair, Marsa Aalam Road, Egypt","['catering', 'catering.restaurant']",0
Dolphin,South Sinai,Al Mostashfa Street,32.7133353,29.5876998,"Dolphin, 4 Al Mostashfa Street, Ras Sudr, 46612, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access']",0
Domino's,Giza,Al Markazy Axis,30.9392372,29.9726258,"Domino's Pizza, Al Markazy Axis, 8th District, 6th of October, 12591, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.pizza']",0
Don Vito,Red Sea,"Hurghada, Ismailia Road",33.7187068,27.3124333,"Don Vito, Hurghada, Ismailia Road, Al Ahia', 84509, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.italian']",0
Down The Bridge Cafe,Cairo,Abou Bakr Al Sedik Street,31.3387065,30.0970602,"Down The Bridge Cafe, Abou Bakr Al Sedik Street, Heliopolis, Cairo, 11736, Egypt","['catering', 'catering.cafe']",0
Dragon House,Cairo,Street 82,31.2596408,29.9566627,"Dragon House, Street 82, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",0
Drinkies,Cairo,Street 9,31.2594124,29.9582312,"Drinkies, 84 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Drinkies,Luxor,Ramsis Street,32.6445095,25.6963037,"Drinkies, Ramsis Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Drinkies,Luxor,Ramsis Street,32.6445095,25.6963037,"Drinkies, Ramsis Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Drinkies - The beverage shop,Cairo,Moustafa Kamel Street,31.2604426,29.9589413,"Drinkies - The beverage shop, Moustafa Kamel Street, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Dukes,Giza,Masdaq Street,31.2036092,30.0388869,"Dukes, Masdaq Street, Dokki, Cairo, 12311, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
Dunkin',Cairo,Street 9,31.2617692,29.9552262,"Dunkin', Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.fast_food']",0
Dunkin' Donuts,Giza,Surya Street,31.1965933,30.0528389,"Dunkin' Donuts, Surya Street, El Mohandesin, Cairo, 13211, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery']",0
DUO,Cairo,Othman Ibn Affan Street,31.3486723,30.1038226,"DUO, Othman Ibn Affan Street, Al-Helmeya, Cairo, 11361, Egypt","['catering', 'catering.restaurant']",0
Egypt Free Shop,Aswan,Kornish Al Nile Street,32.8918867,24.085859,"Egypt Free Shop, Kornish Al Nile Street, Abd Al Aazim Hassn, 81511, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Egypt Papyrus Institute,Giza,Abou Al Houl Al Syahi Street,31.1410582,29.9859937,"Egypt Papyrus Institute, 1 Abou Al Houl Al Syahi Street, Kom al Akhdar, Remaya Square, 12512, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Eileen Hotel Cairo,Cairo,Youssef Al Gendy Street,31.2394293,30.0459882,"Eileen Hotel Cairo, 21 Youssef Al Gendy Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",0
Eileen Hotel Cairo,Cairo,Youssef Al Gendy Street,31.2394293,30.0459882,"Eileen Hotel Cairo, 21 Youssef Al Gendy Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",0
El Askary,Giza,Teraa Al Helw Street,31.1489822,29.9862077,"El Askary, Teraa Al Helw Street, Kom al Akhdar, Giza, 12557, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
El Ezba,Giza,"Shabramant, Monsha'et Dahshur Road",31.1963346,29.9377523,"El Ezba, Shabramant, Monsha'et Dahshur Road, Shabramant, 12947, Egypt","['catering', 'catering.restaurant']",0
El Hag Abdo Butcher,Cairo,Street 9,31.2640887,29.9526423,"El Hag Abdo Butcher, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.butcher']",0
El jokka,Aswan,Mahata Al Meyah Road,32.8846993,24.082727,"El Dokka, Mahata Al Meyah Road, Taqouk Mountain, 81529, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional']",0
El Khan,Red Sea,"Al Qusair, Marsa Aalam Road",34.7896257,25.2533666,"El Khan, Al Qusair, Marsa Aalam Road, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.oriental']",0
El Mansy - المنسى,South Sinai,Al Salam Street,32.7137084,29.5871351,"El Mansy - المنسى, 1 Al Salam Street, Ras Sudr, 46612, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access', 'internet_access.free']",0
El Menofy,Cairo,The Ring Road,31.3204724,29.9836998,"El Menofy, The Ring Road, Cairo, 11771, Egypt","['catering', 'catering.restaurant']",0
El Salam,South Sinai,"Ras Sedr, Al Tour Road",32.7212177,29.5899468,"El Salam, Ras Sedr, Al Tour Road, Ras Sudr, 46612, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
El Salam Restaurant,Aswan,Saad Zaghloul Street,32.9015573,24.098892,"El Salam Restaurant, Saad Zaghloul Street, Saleh Gahin, 81521, Egypt","['catering', 'catering.restaurant']",0
El Sayadeen,Red Sea,MariLu Street,33.6864726,27.3921071,"El Sayadeen, MariLu Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
El Shawesh,Aswan,Medan Al Kaysareya Street,32.8973521,24.0911723,"El Shawesh, Medan Al Kaysareya Street, Othman Ahmed Ibrahim, 81511, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional']",0
El swesy seafood restaurant-مطعم اسماك السويسي,Suez,23rd July Street,32.5563724,29.9639332,"El swesy seafood restaurant-مطعم اسماك السويسي, 298 23rd July Street, Suez, 43511, Egypt","['catering', 'catering.restaurant']",0
El Wensh,Aswan,Fandq Al Safa Street,32.9017634,24.1014135,"El Wensh, Fandq Al Safa Street, Saleh Gahin, 81543, Egypt","['catering', 'catering.fast_food']",0
El Zahraa Cafe,Cairo,Al Mashhd Al Husseiny Street,31.2625099,30.0472905,"El Zahraa Cafe, Al Mashhd Al Husseiny Street, Islamic Cairo, Cairo, 11261, Egypt","['catering', 'catering.restaurant', 'internet_access']",0
El-Negoom Hotel,New Valley,"Al Aouina, Al Hendawy Road",28.9803662,25.4991704,"El-Negoom Hotel, Al Aouina, Al Hendawy Road, Mut, 72711, Egypt","['accommodation', 'accommodation.hotel']",0
El-Negoom Hotel,New Valley,"Al Aouina, Al Hendawy Road",28.9803662,25.4991704,"El-Negoom Hotel, Al Aouina, Al Hendawy Road, Mut, 72711, Egypt","['accommodation', 'accommodation.hotel']",0
Elsayad Bakery,Cairo,Street 9,31.2642341,29.9525363,"Elsayad Bakery, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
ElTahrir K.o.s.h.a.r.y,Cairo,Al Nasr Street,31.2845333,29.9757637,"ElTahrir K.o.s.h.a.r.y, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.fast_food']",0
ElWahy,Cairo,Street 9,31.2641602,29.9525882,"ElWahy, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.fast_food', 'vegan', 'vegetarian']",0
Empress Show Lounge,Cairo,26th July Street,31.22512825,30.0580938,"Empress Show Lounge, 26th July Street, Al-Sabtiyya, 11211, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Entrance to the Grand Egyptian Museum,Giza,"Cairo, Alexandria Desert Road",31.12245279,29.99346095,"Entrance to the Grand Egyptian Museum, Cairo, Alexandria Desert Road, Remaya Square, 12556, Egypt","['building', 'building.tourism', 'entertainment', 'entertainment.museum']",0
Eplis,Aswan,"Cairo, Aswan Eastern Desert Road",32.891612,24.1324066,"Eplis, Cairo, Aswan Eastern Desert Road, Aswan, 81543, Egypt","['catering', 'catering.cafe']",0
Espresso lab,Cairo,Street 213,31.2768049,29.9603487,"Espresso lab, 23 Street 213, Cairo, 11431, Egypt","['catering', 'catering.cafe', 'internet_access']",0
Exception Cafe,Giza,Al Haram Street,31.1415058,29.9871491,"Exception Cafe, 1 Al Haram Street, Kom al Akhdar, Remaya Square, 12512, Egypt","['catering', 'catering.cafe']",0
Fair Trade Egypt,Cairo,Street 205,31.2738554,29.9548307,"Fair Trade Egypt, 12 Street 205, Cairo, 11431, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
"Fairmont Nile City Hotel, Cairo",Cairo,Kornish Al Nil Street,31.22787669,30.0719545,"Fairmont Nile City Hotel, Cairo, Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0
"Fairmont Nile City Hotel, Cairo",Cairo,Kornish Al Nil Street,31.22787669,30.0719545,"Fairmont Nile City Hotel, Cairo, Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0
Falafel,Aswan,"Al Sad Al Aali, Aswan Road",32.8539651,23.9808867,"Falafel, Al Sad Al Aali, Aswan Road, Sahara City, Egypt","['catering', 'catering.fast_food']",0
Falafel & Foul,Suez,Hoda Shaarawy Street,32.5576452,29.9642347,"Falafel & Foul, Hoda Shaarawy Street, Suez, 43511, Egypt","['catering', 'catering.fast_food']",0
family palace hotel,Cairo,B Tech Passage,31.24451553,30.0521705,"family palace hotel, B Tech Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.residential']",0
family palace hotel,Cairo,B Tech Passage,31.24451553,30.0521705,"family palace hotel, B Tech Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.residential']",0
Fatatri At Tahrir,Cairo,Al Tahrir Street,31.2374168,30.0443809,"Fatatri At Tahrir, 2 Al Tahrir Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.regional']",0
Fish and Grill Ayoub,Suez,"Ain Sokhna, Al Zaafarana Road",32.62608782,29.23193235,"Fish and Grill Ayoub, Ain Sokhna, Al Zaafarana Road, Mountain View Sokhna 1, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.sandwich']",0
Fisherman's hut,Red Sea,"Safaga, Al Qusair Road",34.25070252,26.1518752,"Fisherman's hut, Safaga, Al Qusair Road, Al Qusair City, 84712, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Floating Restaurant - El Mabrouka,Aswan,Kornish Al Nile Street,32.8930888,24.088374,"Floating Restaurant - El Mabrouka, Kornish Al Nile Street, Abd Al Aazim Hassn, 81543, Egypt","['catering', 'catering.restaurant']",0
flower cotton,Giza,Mounir Ibrahim Street,31.1437789,29.9852334,"flower cotton, Mounir Ibrahim Street, Kom al Akhdar, Remaya Square, 12512, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
flower cotton,Giza,Lamis Al Gazar Street,31.1439574,29.9849421,"flower cotton, Lamis Al Gazar Street, Kom al Akhdar, Remaya Square, 12512, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Food Garden,Cairo,Street 9,31.2595128,29.9588103,"Food Garden, Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.fruit_and_vegetable']",0
Freedom Hostel (Good address),Cairo,Bank Masr Street,31.2426495,30.0483467,"Freedom Hostel (Good address), Bank Masr Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",0
Freedom Hostel (Good address),Cairo,Bank Masr Street,31.2426495,30.0483467,"Freedom Hostel (Good address), Bank Masr Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",0
Fresh orange juice,Luxor,Saad Zaghloul Street,32.6436486,25.6972032,"Fresh orange juice, Saad Zaghloul Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Fresh orange juice,Luxor,Saad Zaghloul Street,32.6436486,25.6972032,"Fresh orange juice, Saad Zaghloul Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Fruit & Vegetable Stall,Giza,Al Mahrousa Street,31.205314,30.0648175,"Fruit & Vegetable Stall, Al Mahrousa Street, Meet Okba, Giza, 12658, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.fruit_and_vegetable']",0
Fruit juices,Aswan,Kornish Al Nile Street,32.8942025,24.0888877,"Fruit juices, Kornish Al Nile Street, Abd Al Aazim Hassn, 81511, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
fruit palace,Giza,Al Metemedeya Street,31.1856637,30.0533427,"fruit palace, Al Metemedeya Street, Meet Oqba, Giza, 12827, Egypt","['catering', 'catering.fast_food']",0
Ful Cart,Giza,Al Mahrousa Street,31.2051316,30.0649034,"Ful Cart, Al Mahrousa Street, Meet Okba, Giza, 12658, Egypt","['catering', 'catering.fast_food']",0
Fusion Resturant,Giza,Al Hosny Street,31.1926999,30.0625599,"Fusion Resturant, Al Hosny Street, Meet Oqba, Giza, 12657, Egypt","['catering', 'catering.restaurant']",0
Gaddis,Luxor,Kornish Al Nile Street,32.637564,25.6975908,"Gaddis, Kornish Al Nile Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Gaddis,Luxor,Kornish Al Nile Street,32.637564,25.6975908,"Gaddis, Kornish Al Nile Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Galaxy Cinema,Cairo,Abd Al Aziz Al Seoud Street,31.2231082,30.0176442,"Galaxy Cinema, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['building', 'building.entertainment', 'entertainment', 'entertainment.cinema']",0
Gallery Cafe,Eastern,Abd Allah Ibn Masoud Street,31.4884799,30.5905714,"Gallery Cafe, 8 Abd Allah Ibn Masoud Street, Al Zaqaziq, 44519, Egypt","['catering', 'catering.cafe', 'internet_access', 'internet_access.free']",0
Gamalat House,Aswan,Street 6,32.8625301,24.0597117,"Gamalat House, Street 6, Nagaa Al Mahata, 81531, Egypt","['catering', 'catering.cafe']",0
Gamberini,Red Sea,"Al Qusair, Marsa Aalam Road",34.8015611,25.2182435,"Gamberini, Al Qusair, Marsa Aalam Road, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.fish']",0
